site,beta,gamma,w_spec,entry_year,regime,natural_intake,mean_travel,site_label,w_label,regime_label
now,1.6,0.8,W_pan,2030,optionZ,216.76870290248138,35.23491209966055,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.6,0.8,W_pan,2035,optionZ,196.24944489708201,34.922026925696386,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.6,0.8,W_prefs,2026,optionZ,165.8783713043483,32.53389786069773,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.6,0.8,W_prefs,2030,optionZ,126.24136475143352,31.545784560740742,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.6,0.8,W_prefs,2035,optionZ,113.15846079308419,31.26024018148349,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.6,0.8,W_wprefs,2026,optionZ,155.53562982454758,32.08048284433868,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.6,0.8,W_wprefs,2030,optionZ,107.33469557958317,30.67071516371849,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.6,0.8,W_wprefs,2035,optionZ,96.5488907454602,30.41464196766907,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.6,0.8,W_att8,2026,optionZ,165.77476805669787,32.48791779131193,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.6,0.8,W_att8,2030,optionZ,109.4135756102091,30.76966458453511,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.6,0.8,W_att8,2035,optionZ,94.27284961849466,30.311452864187153,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.6,1.6,W_equal,2026,optionZ,318.37686811515573,33.98810484206268,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.6,1.6,W_equal,2030,optionZ,226.83832142731518,31.327340180850346,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.6,1.6,W_equal,2035,optionZ,199.01949562875404,30.613905951111857,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.6,1.6,W_pan,2026,optionZ,315.3652202553435,33.93605678334623,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.6,1.6,W_pan,2030,optionZ,227.58817038047883,31.448378464869197,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.6,1.6,W_pan,2035,optionZ,205.84614338223577,31.001662135210896,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.6,1.6,W_prefs,2026,optionZ,210.55631494832357,29.59169165022598,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.6,1.6,W_prefs,2030,optionZ,154.74165605804032,28.044851618608014,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.6,1.6,W_prefs,2035,optionZ,137.5058329814391,27.60460535356763,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.6,1.6,W_wprefs,2026,optionZ,196.44150686361886,28.993412049115758,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.6,1.6,W_wprefs,2030,optionZ,137.25692149417736,27.30519451191706,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.6,1.6,W_wprefs,2035,optionZ,122.43776008990724,26.946400546345895,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
