name,intake,from_new,mean_travel,entry_year,pan,fill,city_mean_travel,config
Peacehaven Community School,163.9777384034964,136.58651153603162,23.14613609122699,2028,180,0.91098743557498,31.630069234444555,"C. Move only: Elm Grove, PAN 210"
Portslade Aldridge Community Academy,219.99999999999997,4.909754580403182,25.892129970570576,2028,220,0.9999999999999999,31.630069234444555,"C. Move only: Elm Grove, PAN 210"
Varndean School,270,9.593790011260142,33.712773887420546,2028,270,1,31.630069234444555,"C. Move only: Elm Grove, PAN 210"
Blatchington Mill School,330,7.980880206294834,31.083492262160018,2030,330,1,31.777256425196693,"C. Move only: Elm Grove, PAN 210"
Brighton Aldridge Community Academy,115.88195065780428,4.768235052345657,35.54453793754734,2030,180,0.6437886147655794,31.777256425196693,"C. Move only: Elm Grove, PAN 210"
Cardinal Newman Catholic School,122.12485684274722,6.411487027228651,32.99885065831762,2030,360,0.3392357134520756,31.777256425196693,"C. Move only: Elm Grove, PAN 210"
Dorothy Stringer School,324.0237498786665,11.36431894701009,34.88056117764459,2030,330,0.9818901511474741,31.777256425196693,"C. Move only: Elm Grove, PAN 210"
Hove Park School,180.00000000000003,3.9064950107967515,27.657422604194604,2030,180,1.0000000000000002,31.777256425196693,"C. Move only: Elm Grove, PAN 210"
King's School,99.79713712342367,5.691745425013656,45.7599629152246,2030,165,0.6048311340813556,31.777256425196693,"C. Move only: Elm Grove, PAN 210"
Longhill High School,146.7433108981914,4.17061402739405,28.564859272711704,2030,210,0.6987776709437685,31.777256425196693,"C. Move only: Elm Grove, PAN 210"
Patcham High School,210.95369909271798,8.436416431033841,33.419191687778415,2030,225,0.9375719959676355,31.777256425196693,"C. Move only: Elm Grove, PAN 210"
Peacehaven Community School,149.35057672551008,125.55574472096175,22.64178632339179,2030,180,0.8297254262528337,31.777256425196693,"C. Move only: Elm Grove, PAN 210"
Portslade Aldridge Community Academy,220,5.414124742861356,26.660749456453317,2030,220,1,31.777256425196693,"C. Move only: Elm Grove, PAN 210"
Varndean School,269.99999999999994,10.147064195304667,33.99515097637434,2030,270,0.9999999999999998,31.777256425196693,"C. Move only: Elm Grove, PAN 210"
Blatchington Mill School,330,7.978286507998047,31.356188733980343,2033,330,1,31.772113738359238,"C. Move only: Elm Grove, PAN 210"
Brighton Aldridge Community Academy,109.68338190845694,4.345934916394636,35.26654615246248,2033,180,0.6093521217136496,31.772113738359238,"C. Move only: Elm Grove, PAN 210"
Cardinal Newman Catholic School,113.45216222698119,5.844120016651636,33.04879435473255,2033,360,0.31514489507494775,31.772113738359238,"C. Move only: Elm Grove, PAN 210"
Dorothy Stringer School,305.25649315721876,10.357059704921063,34.7059810954212,2033,330,0.9250196762339963,31.772113738359238,"C. Move only: Elm Grove, PAN 210"
Hove Park School,180,3.911068530325401,27.929212813878575,2033,180,1,31.772113738359238,"C. Move only: Elm Grove, PAN 210"
King's School,92.01058051593277,5.1893917608355515,46.068157527544315,2033,165,0.5576398819147441,31.772113738359238,"C. Move only: Elm Grove, PAN 210"
Longhill High School,138.67895175995133,3.8009063044590414,28.438777345892646,2033,210,0.660375960761673,31.772113738359238,"C. Move only: Elm Grove, PAN 210"
Patcham High School,200.18652342906861,7.690331656608015,33.04855457394083,2033,225,0.8897178819069717,31.772113738359238,"C. Move only: Elm Grove, PAN 210"
Peacehaven Community School,137.36597454202098,115.04295564495376,22.72727257628625,2033,180,0.7631443030112277,31.772113738359238,"C. Move only: Elm Grove, PAN 210"
Portslade Aldridge Community Academy,218.27292718693695,5.4010316318911205,27.044728214413098,2033,220,0.9921496690315316,31.772113738359238,"C. Move only: Elm Grove, PAN 210"
Varndean School,270,9.832513184751528,33.88669065718692,2033,270,1,31.772113738359238,"C. Move only: Elm Grove, PAN 210"
Blatchington Mill School,313.61964036980527,7.115938246479861,31.351821688514327,2035,330,0.9503625465751675,31.752643972426696,"C. Move only: Elm Grove, PAN 210"
Brighton Aldridge Community Academy,103.33115163069088,3.8081516527230717,35.0935767142774,2035,180,0.5740619535038383,31.752643972426696,"C. Move only: Elm Grove, PAN 210"
Cardinal Newman Catholic School,106.11432959143107,5.121181686587326,32.98633465810651,2035,360,0.2947620266428641,31.752643972426696,"C. Move only: Elm Grove, PAN 210"
Dorothy Stringer School,285.658232330871,9.075003616142288,34.65049883779894,2035,330,0.8656310070632454,31.752643972426696,"C. Move only: Elm Grove, PAN 210"
Hove Park School,179.99999999999997,3.6843690429167206,28.009553180022188,2035,180,0.9999999999999999,31.752643972426696,"C. Move only: Elm Grove, PAN 210"
King's School,86.18176333379124,4.548098092454671,45.93744781428951,2035,165,0.5223137171744924,31.752643972426696,"C. Move only: Elm Grove, PAN 210"
Longhill High School,130.57343722776696,3.3304010481934774,28.37759349364989,2035,210,0.621778272513176,31.752643972426696,"C. Move only: Elm Grove, PAN 210"
Patcham High School,188.92576483337416,6.73926761511765,32.82373710722903,2035,225,0.8396700659261074,31.752643972426696,"C. Move only: Elm Grove, PAN 210"
Peacehaven Community School,122.1240497845155,101.09771730260847,23.14477358067274,2035,180,0.6784669432473084,31.752643972426696,"C. Move only: Elm Grove, PAN 210"
Portslade Aldridge Community Academy,206.69471756966212,4.73305174811959,26.836040956367714,2035,220,0.9395214434984641,31.752643972426696,"C. Move only: Elm Grove, PAN 210"
Varndean School,270,9.225341207700923,33.89656473377688,2035,270,1,31.752643972426696,"C. Move only: Elm Grove, PAN 210"
Blatchington Mill School,330,6.591044363856516,30.382259209539473,2026,330,1,31.80073516954222,"D. Shrink + move: Elm Grove, PAN 150"
Brighton Aldridge Community Academy,180,6.963247310623334,37.29893377815407,2026,180,1,31.80073516954222,"D. Shrink + move: Elm Grove, PAN 150"
Cardinal Newman Catholic School,251.74506693194314,11.496241596083907,33.51864271086036,2026,360,0.69929185258873094,31.80073516954222,"D. Shrink + move: Elm Grove, PAN 150"
Dorothy Stringer School,329.99999999999994,9.356830927567236,33.8342667071904,2026,330,0.9999999999999998,31.80073516954222,"D. Shrink + move: Elm Grove, PAN 150"
