name,modelled,mean_travel,site,beta,scope,pan2024,pan2026,fill
Longhill High School,346.9154735362789,25.589101920727177,elm,2.3,city,270,210,1.2848721242084404
Patcham High School,190.19249126663044,30.230135769937835,elm,2.3,city,225,225,0.8452999611850242
Portslade Aldridge Community Academy,250.08117598095757,26.27786382894977,elm,2.3,city,220,220,1.1367326180952617
Varndean School,224.29127504683103,30.362398132049105,elm,2.3,city,300,270,0.7476375834894368
Blatchington Mill School,215.28035024629222,30.92263112598991,now,2.4000000000000004,city,330,330,0.652364697716037
Brighton Aldridge Community Academy,181.81282192436063,35.25214186088757,now,2.4000000000000004,city,180,180,1.0100712329131147
Cardinal Newman Catholic School,305.6451334704018,26.48979915404031,now,2.4000000000000004,city,360,360,0.849014259640005
Dorothy Stringer School,221.91186792562033,29.735533511804743,now,2.4000000000000004,city,330,330,0.6724602058352132
Hove Park School,255.4330553303191,28.388324824879998,now,2.4000000000000004,city,180,180,1.4190725296128839
King's School,154.37988674808605,34.55503116433209,now,2.4000000000000004,city,165,165,0.9356356772611276
Longhill High School,223.16057546101985,31.36856054853134,now,2.4000000000000004,city,270,210,0.826520649855629
Patcham High School,201.73849564153647,29.93602760938595,now,2.4000000000000004,city,225,225,0.8966155361846065
Portslade Aldridge Community Academy,258.8854421407697,26.20971644686528,now,2.4000000000000004,city,220,220,1.1767520097307715
Varndean School,248.4042341149812,29.752166055561464,now,2.4000000000000004,city,300,270,0.8280141137166039
Blatchington Mill School,207.91969947250155,30.52503293509571,elm,2.4000000000000004,city,330,330,0.6300596953712169
Brighton Aldridge Community Academy,152.81146065335344,36.673681399730924,elm,2.4000000000000004,city,180,180,0.8489525591852969
Cardinal Newman Catholic School,289.4269855702165,26.259325756883456,elm,2.4000000000000004,city,360,360,0.803963848806157
Dorothy Stringer School,204.13678414922376,29.513861401118486,elm,2.4000000000000004,city,330,330,0.6185963156037083
Hove Park School,245.3766863334954,27.998713585108067,elm,2.4000000000000004,city,180,180,1.3632038129638633
King's School,149.5239876356564,34.04232425782473,elm,2.4000000000000004,city,165,165,0.9062059856706448
Longhill High School,353.9638219491954,25.27430709438253,elm,2.4000000000000004,city,270,210,1.3109771183303534
