id,time_varndean,time_ds,time_longhill,time_blatchington,time_hove_park,time_patcham,time_cardinal_n,time_baca,time_paca,time_kings,time_peacehaven,time_seahaven,time_priory_lewes,time_seaford_head,time_elm_grove,first_closest_travel,second_closest_travel,third_closest_travel,first_closest_time,second_closest_time,third_closest_time,max_travel,min_travel,avg_travel,long,lat,lsoa21,oslaua,osward
BN2 8AF,54,62,21,67,66,64,49,59,71,80,37,45,82,84,50,longhill,peacehaven,seahaven,21,37,45,84,21,60.1,-0.047276,50.803787,E01016959,E06000043,E05015412
BN2 8AG,54,62,21,67,66,69,59,65,71,80,37,45,92,84,50,longhill,peacehaven,seahaven,21,37,45,92,21,62.3,-0.045434,50.80542,E01016959,E06000043,E05015412
BN2 8AH,54,62,21,67,66,69,59,65,71,80,37,45,92,84,50,longhill,peacehaven,seahaven,21,37,45,92,21,62.3,-0.046474,50.805672,E01016959,E06000043,E05015412
BN2 8AJ,54,62,21,67,66,64,49,59,71,80,37,45,82,84,50,longhill,peacehaven,seahaven,21,37,45,84,21,60.1,-0.047775,50.8051,E01016959,E06000043,E05015412
BN2 8AL,62,71,23,73,71,75,68,73,76,86,49,57,92,84,50,longhill,peacehaven,seahaven,23,49,57,92,23,68.6,-0.047319,50.807853,E01016958,E06000043,E05015412
BN2 8AN,62,71,23,73,71,75,68,73,76,86,49,57,92,84,50,longhill,peacehaven,seahaven,23,49,57,92,23,68.6,-0.046822,50.807188,E01016958,E06000043,E05015412
BN2 8AP,62,71,23,73,71,75,68,73,76,86,49,57,92,84,50,longhill,peacehaven,seahaven,23,49,57,92,23,68.6,-0.045361,50.808855,E01016958,E06000043,E05015412
BN2 8AQ,62,71,23,73,71,75,68,73,76,86,49,57,92,84,50,longhill,peacehaven,seahaven,23,49,57,92,23,68.6,-0.045314,50.807622,E01016959,E06000043,E05015412
BN2 8AR,62,71,23,73,71,75,68,73,76,86,49,57,92,84,50,longhill,peacehaven,seahaven,23,49,57,92,23,68.6,-0.043529,50.806162,E01016959,E06000043,E05015412
BN2 8AS,62,71,23,73,71,75,68,73,76,86,49,57,92,84,50,longhill,peacehaven,seahaven,23,49,57,92,23,68.6,-0.044239,50.807856,E01016958,E06000043,E05015412
BN2 8AT,62,71,23,73,71,75,68,73,76,86,49,57,92,84,50,longhill,peacehaven,seahaven,23,49,57,92,23,68.6,-0.042752,50.806769,E01016958,E06000043,E05015412
BN2 8AU,54,62,21,67,66,64,49,59,71,80,37,45,82,84,50,longhill,peacehaven,seahaven,21,37,45,84,21,60.1,-0.046186,50.80439,E01016959,E06000043,E05015412
BN2 8AW,54,62,21,67,66,69,59,65,71,80,37,45,92,84,50,longhill,peacehaven,seahaven,21,37,45,92,21,62.3,-0.044642,50.80502,E01016959,E06000043,E05015412
